,t0_smooth_or_featured__features_or_disk,t0_smooth_or_featured__smooth,t0_smooth_or_featured__star_artifact_or_bad_zoom,t1_how_rounded_is_it__cigarshaped,t1_how_rounded_is_it__in_between,t1_how_rounded_is_it__completely_round,t2_could_this_be_a_disk_viewed_edgeon__yes_edge_on_disk,t2_could_this_be_a_disk_viewed_edgeon__no_something_else,t3_edge_on_bulge_what_shape__boxy,t3_edge_on_bulge_what_shape__no_bulge,t3_edge_on_bulge_what_shape__rounded,t4_is_there_a_bar__no_bar,t4_is_there_a_bar__strong_bar,t4_is_there_a_bar__weak_bar,t5_is_there_any_spiral_arm_pattern__yes,t5_is_there_any_spiral_arm_pattern__no,t6_spiral_how_tightly_wound__loose,t6_spiral_how_tightly_wound__medium,t6_spiral_how_tightly_wound__tight,t7_how_many_spiral_arms_are_there__1,t7_how_many_spiral_arms_are_there__2,t7_how_many_spiral_arms_are_there__3,t7_how_many_spiral_arms_are_there__4,t7_how_many_spiral_arms_are_there__more_than_4,t7_how_many_spiral_arms_are_there__cant_tell,t8_not_edge_on_bulge__dominant,t8_not_edge_on_bulge__moderate,t8_not_edge_on_bulge__no_bulge,t8_not_edge_on_bulge__large,t8_not_edge_on_bulge__small,t11_is_the_galaxy_merging_or_disturbed__major_disturbance,t11_is_the_galaxy_merging_or_disturbed__merging,t11_is_the_galaxy_merging_or_disturbed__minor_disturbance,t11_is_the_galaxy_merging_or_disturbed__none,t12_are_there_any_obvious_bright_clumps__yes,t12_are_there_any_obvious_bright_clumps__no,t19_what_problem_do___e_with_the_image__nonstar_artifact,t19_what_problem_do___e_with_the_image__bad_image_zoom,t19_what_problem_do___e_with_the_image__star,id_str,file_loc
10,3.0,4.0,16.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,4.0,1.0,2.0,1.0,4.0,11.0,1164,/scratch/ydong/stamps/demo_F444W/F444W_1164.jpg
11,12.0,10.0,7.0,4.0,5.0,1.0,10.0,2.0,3.0,0.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,7.0,12.0,7.0,5.0,0.0,7.0,0.0,1484,/scratch/ydong/stamps/demo_F444W/F444W_1484.jpg
12,8.0,18.0,1.0,3.0,15.0,0.0,3.0,5.0,0.0,1.0,2.0,3.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,8.0,15.0,1.0,7.0,0.0,1.0,0.0,1973,/scratch/ydong/stamps/demo_F444W/F444W_1973.jpg
13,6.0,8.0,10.0,5.0,2.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,4.0,6.0,4.0,2.0,1.0,6.0,3.0,2062,/scratch/ydong/stamps/demo_F444W/F444W_2062.jpg
14,10.0,9.0,16.0,4.0,4.0,1.0,2.0,8.0,0.0,2.0,0.0,7.0,1.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,3.0,6.0,5.0,5.0,9.0,1.0,2.0,11.0,3.0,2410,/scratch/ydong/stamps/demo_F444W/F444W_2410.jpg
15,10.0,4.0,6.0,1.0,2.0,1.0,3.0,7.0,2.0,1.0,0.0,4.0,1.0,2.0,1.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,7.0,5.0,0.0,2.0,8.0,2.0,1.0,5.0,0.0,2404,/scratch/ydong/stamps/demo_F444W/F444W_2404.jpg
16,4.0,9.0,14.0,2.0,4.0,3.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,9.0,3.0,2427,/scratch/ydong/stamps/demo_F444W/F444W_2427.jpg
17,12.0,11.0,4.0,2.0,9.0,0.0,0.0,12.0,0.0,0.0,0.0,9.0,1.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,5.0,7.0,6.0,5.0,5.0,11.0,1.0,1.0,1.0,2.0,2629,/scratch/ydong/stamps/demo_F444W/F444W_2629.jpg
18,24.0,8.0,3.0,6.0,2.0,0.0,21.0,3.0,3.0,1.0,17.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,1.0,6.0,21.0,4.0,20.0,1.0,2.0,0.0,337,/scratch/ydong/stamps/demo_F444W/F444W_337.jpg
19,6.0,10.0,14.0,5.0,5.0,0.0,1.0,5.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,4.0,2.0,8.0,0.0,6.0,4.0,10.0,0.0,216,/scratch/ydong/stamps/demo_F444W/F444W_216.jpg
20,7.0,14.0,12.0,1.0,13.0,0.0,2.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,5.0,15.0,2.0,5.0,1.0,9.0,2.0,363,/scratch/ydong/stamps/demo_F444W/F444W_363.jpg
21,17.0,8.0,2.0,3.0,4.0,1.0,4.0,13.0,0.0,4.0,0.0,11.0,1.0,1.0,2.0,11.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,1.0,4.0,10.0,3.0,8.0,17.0,0.0,1.0,1.0,0.0,568,/scratch/ydong/stamps/demo_F444W/F444W_568.jpg
22,1.0,10.0,23.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,7.0,0.0,1.0,0.0,21.0,2.0,770,/scratch/ydong/stamps/demo_F444W/F444W_770.jpg
23,6.0,4.0,14.0,2.0,1.0,1.0,2.0,4.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,5.0,1.0,1.0,3.0,3.0,3.0,0.0,14.0,0.0,1381,/scratch/ydong/stamps/demo_F444W/F444W_1381.jpg
24,8.0,12.0,12.0,1.0,11.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,2.0,2.0,5.0,3.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,2.0,1.0,0.0,7.0,12.0,2.0,6.0,0.0,10.0,2.0,1403,/scratch/ydong/stamps/demo_F444W/F444W_1403.jpg
25,9.0,10.0,7.0,7.0,3.0,0.0,8.0,1.0,0.0,5.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,4.0,10.0,0.0,9.0,0.0,6.0,1.0,1554,/scratch/ydong/stamps/demo_F444W/F444W_1554.jpg
26,3.0,13.0,12.0,5.0,7.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,6.0,4.0,1.0,2.0,2.0,10.0,0.0,1956,/scratch/ydong/stamps/demo_F444W/F444W_1956.jpg
27,6.0,9.0,10.0,2.0,6.0,1.0,1.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,4.0,5.0,4.0,5.0,1.0,1.0,8.0,1.0,1982,/scratch/ydong/stamps/demo_F444W/F444W_1982.jpg
28,5.0,11.0,10.0,1.0,7.0,3.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,2.0,12.0,0.0,5.0,0.0,6.0,4.0,2014,/scratch/ydong/stamps/demo_F444W/F444W_2014.jpg
29,7.0,8.0,9.0,6.0,2.0,0.0,5.0,2.0,3.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,4.0,5.0,3.0,4.0,1.0,8.0,0.0,2299,/scratch/ydong/stamps/demo_F444W/F444W_2299.jpg
30,11.0,14.0,5.0,0.0,12.0,2.0,5.0,6.0,1.0,2.0,2.0,6.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,7.0,6.0,4.0,8.0,7.0,4.0,0.0,5.0,0.0,2356,/scratch/ydong/stamps/demo_F444W/F444W_2356.jpg
31,7.0,16.0,14.0,7.0,9.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,1.0,1.0,2.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,5.0,2.0,5.0,11.0,3.0,4.0,1.0,11.0,2.0,2476,/scratch/ydong/stamps/demo_F444W/F444W_2476.jpg
32,7.0,11.0,3.0,0.0,11.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,1.0,2.0,1.0,3.0,8.0,6.0,7.0,0.0,1.0,2.0,0.0,5134,/scratch/ydong/stamps/demo_F444W/F444W_5134.jpg
33,6.0,18.0,8.0,3.0,11.0,4.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,3.0,13.0,4.0,4.0,4.0,2.0,1.0,6.0,1.0,5,/scratch/ydong/stamps/demo_F444W/F444W_5.jpg
34,4.0,11.0,6.0,0.0,9.0,2.0,0.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,6.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,6,/scratch/ydong/stamps/demo_F444W/F444W_6.jpg
35,15.0,6.0,8.0,1.0,2.0,3.0,0.0,15.0,0.0,0.0,0.0,13.0,0.0,2.0,2.0,13.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,1.0,2.0,5.0,4.0,5.0,7.0,11.0,4.0,0.0,7.0,1.0,10,/scratch/ydong/stamps/demo_F444W/F444W_10.jpg
36,1.0,24.0,5.0,12.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,18.0,0.0,1.0,0.0,5.0,0.0,11,/scratch/ydong/stamps/demo_F444W/F444W_11.jpg
37,2.0,14.0,18.0,1.0,12.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,13.0,0.0,2.0,2.0,15.0,1.0,15,/scratch/ydong/stamps/demo_F444W/F444W_15.jpg
38,8.0,9.0,11.0,0.0,8.0,1.0,1.0,7.0,0.0,0.0,1.0,5.0,0.0,2.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,1.0,13.0,0.0,8.0,2.0,9.0,0.0,164,/scratch/ydong/stamps/demo_F444W/F444W_164.jpg
39,4.0,23.0,2.0,0.0,21.0,2.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,13.0,12.0,1.0,3.0,1.0,1.0,0.0,17,/scratch/ydong/stamps/demo_F444W/F444W_17.jpg
40,27.0,0.0,1.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,16.0,3.0,8.0,26.0,1.0,0.0,2.0,24.0,1.0,9.0,14.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,24.0,6.0,0.0,10.0,11.0,8.0,19.0,0.0,1.0,0.0,30,/scratch/ydong/stamps/demo_F444W/F444W_30.jpg
41,8.0,14.0,3.0,0.0,14.0,0.0,1.0,7.0,0.0,0.0,1.0,7.0,0.0,0.0,2.0,5.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,6.0,16.0,1.0,7.0,0.0,2.0,1.0,36,/scratch/ydong/stamps/demo_F444W/F444W_36.jpg
42,6.0,12.0,9.0,11.0,1.0,0.0,6.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,15.0,5.0,1.0,1.0,8.0,0.0,370,/scratch/ydong/stamps/demo_F444W/F444W_370.jpg
43,3.0,11.0,18.0,0.0,10.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,6.0,2.0,3.0,2.0,1.0,3.0,15.0,0.0,432,/scratch/ydong/stamps/demo_F444W/F444W_432.jpg
44,12.0,9.0,3.0,0.0,1.0,8.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,1.0,1.0,1.0,2.0,7.0,11.0,10.0,2.0,0.0,3.0,0.0,42,/scratch/ydong/stamps/demo_F444W/F444W_42.jpg
45,5.0,10.0,13.0,1.0,2.0,7.0,1.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,8.0,4.0,1.0,2.0,3.0,0.0,11.0,2.0,184,/scratch/ydong/stamps/demo_F444W/F444W_184.jpg
46,1.0,17.0,11.0,0.0,16.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,12.0,0.0,1.0,0.0,11.0,0.0,43,/scratch/ydong/stamps/demo_F444W/F444W_43.jpg
47,4.0,9.0,6.0,1.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,3.0,4.0,4.0,4.0,0.0,0.0,6.0,0.0,46,/scratch/ydong/stamps/demo_F444W/F444W_46.jpg
48,16.0,18.0,4.0,10.0,8.0,0.0,5.0,11.0,0.0,1.0,4.0,3.0,5.0,3.0,6.0,5.0,3.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,1.0,4.0,8.0,2.0,14.0,10.0,8.0,8.0,0.0,3.0,1.0,44,/scratch/ydong/stamps/demo_F444W/F444W_44.jpg
49,22.0,2.0,3.0,0.0,2.0,0.0,1.0,21.0,0.0,0.0,1.0,16.0,1.0,4.0,19.0,2.0,1.0,5.0,13.0,0.0,1.0,3.0,6.0,5.0,4.0,0.0,14.0,0.0,1.0,6.0,3.0,0.0,5.0,16.0,14.0,8.0,0.0,3.0,0.0,37,/scratch/ydong/stamps/demo_F444W/F444W_37.jpg
50,24.0,0.0,2.0,0.0,0.0,0.0,2.0,22.0,0.0,1.0,1.0,9.0,3.0,10.0,22.0,0.0,2.0,9.0,11.0,0.0,8.0,5.0,2.0,0.0,7.0,0.0,5.0,0.0,0.0,17.0,3.0,0.0,8.0,13.0,14.0,10.0,0.0,2.0,0.0,59,/scratch/ydong/stamps/demo_F444W/F444W_59.jpg
51,10.0,10.0,7.0,8.0,2.0,0.0,3.0,7.0,0.0,3.0,0.0,0.0,6.0,1.0,6.0,1.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,4.0,1.0,0.0,1.0,14.0,2.0,0.0,4.0,7.0,3.0,2.0,5.0,0.0,57,/scratch/ydong/stamps/demo_F444W/F444W_57.jpg
52,2.0,17.0,11.0,0.0,11.0,6.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,4.0,10.0,0.0,2.0,0.0,10.0,1.0,64,/scratch/ydong/stamps/demo_F444W/F444W_64.jpg
53,28.0,3.0,6.0,0.0,3.0,0.0,3.0,25.0,0.0,0.0,3.0,5.0,12.0,8.0,25.0,0.0,6.0,16.0,3.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,12.0,2.0,4.0,0.0,5.0,22.0,5.0,23.0,0.0,6.0,0.0,63,/scratch/ydong/stamps/demo_F444W/F444W_63.jpg
54,9.0,19.0,2.0,17.0,2.0,0.0,6.0,3.0,1.0,5.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,7.0,3.0,6.0,12.0,3.0,6.0,0.0,2.0,0.0,61,/scratch/ydong/stamps/demo_F444W/F444W_61.jpg
55,10.0,14.0,10.0,9.0,4.0,1.0,9.0,1.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,9.0,12.0,3.0,7.0,2.0,8.0,0.0,71,/scratch/ydong/stamps/demo_F444W/F444W_71.jpg
56,12.0,10.0,8.0,0.0,6.0,4.0,0.0,12.0,0.0,0.0,0.0,10.0,2.0,0.0,2.0,10.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,1.0,1.0,3.0,8.0,1.0,10.0,3.0,9.0,3.0,0.0,8.0,0.0,68,/scratch/ydong/stamps/demo_F444W/F444W_68.jpg
57,4.0,5.0,13.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,0.0,5.0,3.0,1.0,2.0,11.0,0.0,75,/scratch/ydong/stamps/demo_F444W/F444W_75.jpg
58,2.0,5.0,12.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,2.0,10.0,0.0,74,/scratch/ydong/stamps/demo_F444W/F444W_74.jpg
59,20.0,2.0,2.0,0.0,0.0,2.0,1.0,19.0,0.0,0.0,1.0,15.0,1.0,3.0,12.0,7.0,8.0,3.0,1.0,4.0,6.0,0.0,0.0,0.0,2.0,1.0,14.0,0.0,3.0,1.0,9.0,1.0,4.0,8.0,18.0,2.0,0.0,1.0,1.0,91,/scratch/ydong/stamps/demo_F444W/F444W_91.jpg
60,7.0,11.0,13.0,6.0,5.0,0.0,3.0,4.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,6.0,3.0,7.0,4.0,3.0,0.0,13.0,0.0,76,/scratch/ydong/stamps/demo_F444W/F444W_76.jpg
61,33.0,3.0,4.0,0.0,1.0,2.0,0.0,33.0,0.0,0.0,0.0,28.0,1.0,4.0,16.0,17.0,6.0,8.0,2.0,5.0,8.0,1.0,0.0,0.0,2.0,1.0,19.0,4.0,7.0,2.0,7.0,4.0,8.0,17.0,28.0,5.0,0.0,4.0,0.0,90,/scratch/ydong/stamps/demo_F444W/F444W_90.jpg
62,5.0,22.0,6.0,13.0,9.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,8.0,19.0,1.0,4.0,0.0,6.0,0.0,78,/scratch/ydong/stamps/demo_F444W/F444W_78.jpg
63,6.0,16.0,14.0,13.0,3.0,0.0,5.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,16.0,0.0,5.0,4.0,2.0,1.0,13.0,0.0,85,/scratch/ydong/stamps/demo_F444W/F444W_85.jpg
